Actual,Predicted
7.5,7.710318594299341
8.2,8.031927024472594
8.0,8.249130017253469
7.7,7.727988276587705
8.2,7.945629347042407
7.1,7.331904443674353
8.2,8.125627280139787
8.0,8.210438267276865
6.4,7.806809069650516
8.6,7.943303425174041
8.3,8.001236713710961
5.5,7.7966821687585295
8.4,8.187289219925194
8.5,8.336648376934441
8.3,8.023556285435445
8.6,7.766819383038301
8.4,7.855349986525729
7.8,8.484684953022912
7.9,8.10225005435758
8.2,8.016903102463324
7.5,7.9404941623853835
7.1,7.798511690307775
8.2,8.00431236024653
9.0,8.009538235632697
8.3,7.704497245280676
8.6,8.132899133743077
7.2,7.906354980507829
8.6,8.309638896054997
7.7,7.977858446589434
8.3,7.716773009729142
8.3,8.367524899728796
7.2,8.0651427907763
8.1,8.434988288110056
6.8,7.894715559095394
8.3,8.166356498070334
8.2,7.7787776053195605
7.1,7.759521943210351
6.9,7.681358717025913
7.8,7.901438835840705
8.5,8.435397882070868
7.4,7.7211046170174775
6.9,7.889730372804163
7.8,8.236860461508735
7.0,7.775688895530272
8.3,7.697323097226377
7.5,7.943363821607102
8.5,8.314328805209957
7.9,7.900033205270602
7.7,7.95793764676176
8.1,8.419203197546835
7.4,7.862036769906361
7.2,7.931227325273158
8.3,8.144906510656115
8.0,7.925924139749076
8.3,7.737817177355083
8.0,8.175471745466417
7.2,7.758033708956573
7.9,7.864933301435601
8.2,8.374781442592733
8.1,8.031497396950574
8.6,8.186315069515672
8.0,8.075000799641732
8.2,8.339934333250653
8.6,8.067128966703038
8.4,7.976966469671672
8.1,7.822685478824718
8.1,8.049671905354796
8.4,7.906181542202595
8.1,7.976822144110908
8.2,7.695006634938755
8.0,7.768098362727071
7.9,8.06681566745911
9.0,7.96164574209323
7.5,8.375624464435788
7.5,7.754798312235991
7.9,7.810916590912984
7.7,7.766728676080915
8.3,8.23777912758868
8.8,8.436764497730127
7.7,7.857643447844151
7.7,7.699291684370511
7.4,7.985600489194437
8.3,8.181378273001721
8.6,7.989907783386369
7.8,7.771025656430843
8.2,8.110649176962465
7.1,7.844265457422422
8.6,8.103078630927069
7.5,7.282137532723203
8.4,7.950026447646462
7.2,7.907415413998297
8.0,7.92680665546726
8.0,7.749593058854988
8.4,7.97018070842981
7.4,7.881852151994126
5.5,7.738491856762554
8.0,8.20122446830497
8.6,8.44844285887562
8.2,8.034117036069404
8.0,8.200508416991738
8.0,7.806717034960209
8.4,7.824835209017357
8.3,7.9542550853409315
7.4,7.756441541323717
7.5,7.977515752943876
7.8,8.141457181657753
7.8,7.8537706076577
7.8,7.81347379307427
9.0,8.114280797225453
8.3,8.198082175021565
8.3,7.807970139383925
7.4,8.067426497200861
8.5,8.139066843223587
7.8,7.745242118028244
8.6,8.014079021641269
7.8,7.765327288354313
7.7,7.713321129454473
8.3,7.7403137744572685
8.8,8.475345471711021
8.6,8.044736825431364
7.0,7.701077755765569
8.2,7.998249406131861
8.5,7.690162340429202
8.6,7.849711318441677
8.2,8.05978765388651
7.4,7.890818586203872
7.8,7.810841676270467
8.1,8.063361545649006
8.3,7.709439436162525
7.9,7.81123319490962
8.3,7.9682449636630395
7.7,7.90121450895973
7.1,7.760248212430972
7.9,8.113613425283228
7.3,7.892147019755996
8.5,8.374600244446764
7.7,7.940704139761694
8.3,7.742121666187662
8.8,8.657409406777882
7.9,8.019711798528078
7.5,7.8614539799765595
7.4,7.8547728916540205
7.0,7.726906653604805
7.9,8.007364093548256
8.5,8.246831372624918
8.0,8.015595993703835
7.8,8.005629003168755
8.1,8.40645112140518
7.7,7.755887741243309
7.7,7.830405518076979
7.5,7.365954090483335
8.4,7.952326247512505
7.8,7.869550623043207
8.6,7.834734651285659
8.0,8.127512132747926
8.0,8.004493386104876
8.5,7.956805308102994
8.6,7.912215450272082
8.0,7.696341095156186
7.4,7.712349796011595
7.8,8.040129379308643
8.3,8.236025446953187
8.3,8.527243651643799
8.3,8.17491046469628
8.4,7.830520833549237
7.0,7.675250822770095
7.4,7.735875650234728
7.1,7.59682837177534
8.6,7.745775215412359
7.1,7.755182696129077
7.1,7.638323795600172
8.3,8.296607141633928
7.7,7.668213533687361
7.7,7.843159559062399
8.0,8.241477592662218
8.2,7.942759687820687
8.1,7.911515465977189
7.8,7.745242118028244
8.2,8.00111595501963
8.7,8.042019260146482
7.8,7.716064805048131
8.5,8.26331264126828
7.2,7.753410369099359
6.2,7.690707431431074
7.7,7.899421094529106
6.9,7.950713441947542
8.6,8.53803999679819
7.7,7.8994608283242345
8.1,7.985805596278622
7.0,7.7697921164182775
8.3,7.5568983929114415
8.6,7.771964321695073
8.0,8.10836609020301
8.0,8.233340670866113
7.7,7.81270928620971
7.5,7.795729576532974
8.2,7.787824225672556
7.4,7.925633795414806
7.9,7.841176556713059
8.0,8.254553665667451
7.5,7.757189694920757
8.6,7.874581698363245
7.5,7.947508884927364
7.9,8.17064359914189
9.1,8.251250420186524
7.4,7.8928335030292125
8.0,7.88786462072994
8.6,8.056056036805925
8.5,7.968356812563278
6.5,8.417122977999991
8.9,7.689433728682182
8.2,8.132177515656645
8.0,8.124062520343182
9.1,8.437684510909062
8.0,8.098395012860026
7.8,8.22452494243762
7.7,7.7308330531378235
7.5,7.784292032014773
8.5,7.713606343668606
7.7,8.057292085518798
7.2,7.745120242458836
7.9,8.093772721224472
8.2,7.82560807209186
8.5,8.271189604383594
7.5,7.7800779259952435
8.3,7.700511607472732
8.6,8.582679140247157
8.2,8.006136739651957
8.5,8.284037957869586
8.0,7.870848300643733
6.4,7.474163741189741
8.1,8.03883097051719
8.1,8.49397572766762
7.7,7.852565664289146
7.9,7.584028884170804
8.0,7.875379788073686
6.9,7.981004289287913
7.8,8.147893166260388
8.0,7.81336972805275
6.5,8.416325850438403
8.2,7.93308399101814
8.3,7.893581639498552
8.1,7.8824700459438715
7.7,7.819724008751691
8.5,7.976864626043931
7.1,7.80910612449155
8.3,8.25260570023423
8.0,8.07974222791885
7.8,7.940515769952409
7.8,8.262378974341965
7.0,7.764219589645245
8.3,7.7627969182736605
7.4,7.864915376369907
8.1,8.125888267208007
8.5,8.240993069543796
8.2,8.291994111809963
8.7,8.111653523627435
8.3,7.755820105648915
7.5,7.86094083173883
5.5,7.7153751574764815
7.4,7.941958619006798
6.4,7.698877997811405
8.7,7.703954094965356
8.1,8.205653955478246
7.4,7.711539086278413
7.0,7.783502710477603
7.2,7.88955975661871
8.7,7.8133739597575875
8.4,8.052295374737579
8.4,7.94771494698286
8.2,7.976387553415385
8.3,8.272029017850468
8.3,8.080498603679748
7.5,7.919484866460218
8.1,8.016012168490636
8.5,8.236210304174264
7.2,7.858688717168586
7.4,7.9994053168537125
8.3,8.276014655658411
8.3,8.178951113543436
6.9,7.990229628888561
8.3,8.127265357703402
8.3,8.209252406956766
8.1,7.817398456459229
8.2,8.002273879181494
7.2,7.900936477932787
7.9,7.80986236195895
7.4,7.876948566632229
7.4,7.891440759487101
8.5,8.00093787840391
8.2,7.974499789443113
8.7,8.36815364224055
7.7,7.776772483356933
